CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2,filter_technique,filter_order,filter_cutoff,filter_numNei
110839339.0,4.035144,4.02,0.0027152374185085123,0.0941,0.07,2.6644836214601443e-18,9.21,9.19,0.0027152374185086085,0.64,0.67,0.0032789606989131552,1.9263398347639147,bessel,n1,f02,
315198039.0,3.896914,3.92,0.0038817910023654727,0.0758,0.06,1.9046158684376738e-18,6.92,6.94,0.003881791002365455,0.0,0.02,0.0012939303341218233,340.31709155934436,bessel,n1,f02,
315211361.0,1.900078,1.88,0.007661859001132191,0.1383,0.12,1.2452053984800993e-17,6.34,6.32,0.006344622020662214,0.44,0.46,7.471232390880596e-17,75.80847920652863,bessel,n1,f02,
315239728.0,9.243751,9.26,0.003530747573428365,0.0801,0.06,1.73237504329876e-18,35.22,35.25,0.004263782773520318,0.0,0.02,0.00117691585780948,200.53203069965372,bessel,n1,f02,
652180991.0,5.208129,5.19,0.0019096564341013816,0.0585,0.05,0.0006751655071448068,5.65,5.65,0.0019096564341013987,0.67,0.7,0.0023061292368623215,3.0921891529730647,bessel,n1,f02,
100725706.0,13.24016,13.24,0.004363741159757059,0.1483,0.13,0.0,22.36,22.37,0.005269718097407844,0.92,0.95,0.0015428154827035673,4.398870203858274,bessel,n1,f03,
101086161.0,6.21238,6.19,0.0027152374185085123,0.0892,0.07,2.6644836214601443e-18,11.93,11.91,0.0027152374185084637,0.82,0.85,0.0032789606989131466,3.4420853574691552,bessel,n1,f03,
101368192.0,4.25667,4.24,0.0027152374185085123,0.0661,0.05,2.6644836214601443e-18,8.23,8.21,0.0027152374185084637,0.48,0.51,0.003278960698913153,6.712984990391565,bessel,n1,f03,
102671819.0,2.828042,2.85,0.002715237418508524,0.1309,0.11,5.3289672429202886e-18,7.81,7.82,0.002715237418508536,0.63,0.66,0.0032789606989131557,1.9870199694801822,bessel,n1,f03,
102764809.0,4.037928,4.06,0.003881791002365455,0.1116,0.09,3.8092317368753475e-18,9.13,9.13,0.0038817910023655937,0.74,0.77,0.0022411530801535726,21.104801951382882,bessel,n1,f03,
102890318.0,1.508956,1.49,0.007661859001132191,0.141,0.12,1.2452053984800993e-17,4.62,4.6,0.006344622020662214,0.51,0.54,9.961643187840795e-17,61.0531131307982,bessel,n1,f03,
102912369.0,9.201536,9.19,0.00304393848584934,0.1021,0.08,0.0,17.03,17.06,0.003675904949222099,0.01,0.03,0.0015219692429246214,235.01693422606647,bessel,n1,f03,
105209106.0,4.204644,4.22,0.003881791002365456,0.0771,0.06,1.9046158684376738e-18,6.2,6.22,0.003881791002365456,0.0,0.02,0.0012939303341218233,11.037823517480948,bessel,n1,f03,
105793995.0,4.860616,4.88,0.0017062162888491544,0.1599,0.14,0.0012818720703901716,9.66,9.66,0.0017062162888491085,1.04,1.05,0.0017985098845476849,0.78263506356582,bessel,n1,f03,
105819653.0,9.756373,9.74,0.0019096564341013478,0.0468,0.03,0.0006751655071448066,13.06,13.04,0.0019096564341014156,0.66,0.69,0.0023061292368623237,0.5844731978068115,bessel,n1,f03,
105833549.0,2.994279,2.99,0.0027152374185085,0.1039,0.08,0.0,6.71,6.7,0.002715237418508512,0.83,0.84,0.0032789606989131496,3.812035747351723,bessel,n1,f03,
105891283.0,95.270554,95.29,0.0038817910023658,0.1282,0.11,7.618463473750695e-18,97.61,97.63,0.003881791002365249,0.0,0.02,0.0012939303341218233,221.1772508335925,bessel,n1,f03,
106017681.0,8.886623,8.91,0.0035307475734284903,0.1122,0.09,3.46475008659752e-18,18.61,18.62,0.004263782773520447,0.0,0.02,0.00117691585780948,9.68731332593443,bessel,n1,f03,
110839339.0,4.035144,4.02,0.0027152374185085123,0.0941,0.07,2.6644836214601443e-18,9.21,9.19,0.0027152374185086085,0.64,0.67,0.0032789606989131552,1.8324850789854978,bessel,n1,f03,
315198039.0,3.896914,3.92,0.0038817910023654727,0.0758,0.06,1.9046158684376738e-18,6.92,6.94,0.003881791002365455,0.0,0.02,0.0012939303341218233,319.96168790910025,bessel,n1,f03,
315211361.0,1.900078,1.88,0.007661859001132191,0.1383,0.12,1.2452053984800993e-17,6.34,6.32,0.006344622020662214,0.44,0.46,7.471232390880596e-17,69.76369991982335,bessel,n1,f03,
315239728.0,9.243751,9.26,0.003530747573428365,0.0801,0.06,1.73237504329876e-18,35.22,35.25,0.004263782773520318,0.0,0.02,0.00117691585780948,177.11391891579598,bessel,n1,f03,
652180991.0,5.208129,5.21,0.0019096564341013816,0.0585,0.05,0.0006751655071448068,5.65,5.65,0.0019096564341013987,0.67,0.7,0.0023061292368623215,2.741850490071231,bessel,n1,f03,
100725706.0,13.24016,13.22,0.0030439384858491777,0.1483,0.13,0.0009320120123438356,22.36,22.34,0.0036759049492222115,0.92,0.94,0.001784667130745037,3.996051116739565,bessel,n1,f04,
101086161.0,6.21238,6.19,0.0027152374185085123,0.0892,0.07,2.6644836214601443e-18,11.93,11.91,0.0027152374185084637,0.82,0.85,0.0032789606989131466,3.202754545016708,bessel,n1,f04,
101368192.0,4.25667,4.24,0.0027152374185085123,0.0661,0.05,2.6644836214601443e-18,8.23,8.21,0.0027152374185084637,0.48,0.51,0.003278960698913153,6.455773194770569,bessel,n1,f04,
102671819.0,2.828042,2.85,0.0025099517714754923,0.1309,0.11,0.0006210519989632934,7.81,7.82,0.002509951771475503,0.63,0.66,0.0032070987321515527,1.8993318092346398,bessel,n1,f04,
102764809.0,4.037928,4.06,0.002980826161307462,0.1116,0.09,0.0008431049568795123,9.13,9.13,0.0029808261613075674,0.74,0.77,0.0024580522229350294,20.636155871368725,bessel,n1,f04,
102890318.0,1.508956,1.49,0.007661859001132191,0.141,0.12,1.2452053984800993e-17,4.62,4.6,0.006344622020662214,0.51,0.54,9.961643187840795e-17,59.70597854902818,bessel,n1,f04,
102912369.0,9.201536,9.19,0.00304393848584934,0.1021,0.08,0.0,17.03,17.06,0.003675904949222099,0.01,0.03,0.0015219692429246214,230.92790916601118,bessel,n1,f04,
